Wavelength,Red,Green,Blue,Orange,Cyan,Violet
672,0.0002624,5.914e-07,9.837e-07,8.787e-07,4.864e-07,4.864e-07
676,0.0001205,7.836e-07,7.836e-07,5.022e-07,5.022e-07,5.022e-07
680,6.131e-05,1.063e-06,1.063e-06,5.19e-07,7.661e-07,5.19e-07
684,3.161e-05,8.992e-07,5.377e-07,8.992e-07,7.138e-07,1.261e-06
688,1.75e-05,6.326e-07,5.597e-07,1.53e-06,5.597e-07,7.055e-07
692,8.574e-06,5.847e-07,5.847e-07,5.847e-07,7.409e-07,5.847e-07
696,5.577e-06,6.108e-07,6.108e-07,6.108e-07,1.507e-06,6.108e-07
700,4.048e-06,6.393e-07,1.067e-06,6.393e-07,1.063e-06,6.393e-07
704,1.741e-06,1.355e-06,8.079e-07,8.191e-07,6.718e-07,7.7e-07
708,1.931e-06,2.247e-06,1.222e-06,2.247e-06,7.09e-07,1.734e-06
712,1.134e-06,7.473e-07,1.108e-06,7.473e-07,7.473e-07,7.473e-07
716,1.878e-06,7.903e-07,1.037e-06,7.903e-07,7.903e-07,7.903e-07
720,1.02e-06,8.423e-07,8.423e-07,8.423e-07,1.51e-06,9.281e-07
724,9.015e-07,9.015e-07,9.015e-07,9.015e-07,9.015e-07,2.083e-06
728,1.465e-06,9.635e-07,9.635e-07,9.635e-07,9.635e-07,1.888e-06
732,1.314e-06,1.791e-06,1.035e-06,1.035e-06,1.035e-06,1.035e-06
736,1.126e-06,2.252e-06,3.248e-06,1.126e-06,1.473e-06,1.126e-06
740,1.226e-06,2.001e-06,4.577e-06,1.676e-06,2.776e-06,1.676e-06
744,1.335e-06,2.111e-06,3.568e-06,1.893e-06,1.335e-06,1.893e-06
748,1.479e-06,2.904e-06,3.753e-06,1.461e-06,1.461e-06,2.607e-06
752,2.881e-06,1.627e-06,1.627e-06,1.627e-06,2.748e-06,1.627e-06
756,2.6e-06,1.796e-06,1.796e-06,1.796e-06,4.772e-06,1.796e-06
760,2.648e-06,1.986e-06,1.986e-06,1.986e-06,1.986e-06,3.31e-06
764,2.219e-06,2.219e-06,2.219e-06,4.66e-06,3.948e-06,2.471e-06
768,2.482e-06,2.482e-06,2.482e-06,7.48e-06,2.482e-06,2.482e-06
772,2.762e-06,4.285e-06,4.285e-06,2.762e-06,2.762e-06,2.762e-06
776,3.077e-06,6.153e-06,3.768e-06,3.077e-06,3.077e-06,3.077e-06
780,3.508e-06,8.943e-06,8.942e-06,3.508e-06,3.508e-06,6.225e-06
